id,user_id,name,url,introduce,tel_number,post_code,address
1,2,대전 광역시 동물 보호소,https://www.daejeon.go.kr/ani/index.do,"""대전동물보호센터에서는「동물보호법」과「대전광역시 동물보호조례」등에 따라서 유기·유실동물의 생명 보호, 안전 보장 및 복지 증진을 꾀하고, 건전하고 책임 있는 입양문화를 조성하여 생명 존중에 대한 정서함양과 사람과 동물의 조화로운 공존에 이바지함을 목적으로 설립되었습니다.""",042-825-1118,34001,대전광역시 유성구 금남구즉로 1234(금고동)
2,3,천사의 집,https://cafe.naver.com/dj1004home,"""대전 서구 갈마동에 위치한 유기견 센터 입니다.""",042-488-0246,35227,대전광역시 갈마동
3,4,도그마루,https://dmanimal.co.kr/main,"""입양시까지 책임지고 보호하며 안전한 입양을 통해 다시금 반려동물로서의 행복한 삶을 살아갈 수 있도록 전문 요양보호 시설을 갖추고 있습니다.""",02-1566-8713,35235,대전광역시 서구 문정로 17
